"id"	"v_num"	"v_filename"	"v_titleEnhanced_en"	"v_abstractEnhanced_en"	"v_abstractDocumentation_en"
"12"	"12"	"Patent Document 0001680761.zip"	"Prodn. of hydraulically cleaned diesel fuel with wide fraction composition by raw material separation into two fractions, one boiling below certain temp., other above it PRODUCE HYDRAULIC CLEAN DIESEL FUEL WIDE FRACTION COMPOSITION RAW MATERIAL SEPARATE TWO ONE BOILING BELOW TEMPERATURE ABOVE"	"The method is carried out by catalytic hydraulic cleaning in the first reactor (4) in the presence of cleaned hydrogen containing gas, and in the second reactor (10) in the presence of hydrogen containing gas, and low boiling fraction obtained during hot separation of the first reactor hydrogenate, subsequent successive hot and cold separation of second reactor hydrogenate and liq. separation products supply for stabilisation, obtaining stabilisation product. The product quality is increased since the raw material is separated into two fractions, one boiling below 350 deg.C and other above 350 deg.C, and the second fraction is supplied to the first reactor and the second fraction to the first reactor with hydraulic cleaning in the latter at hydrogen partial pressure lower than in the first reactor. The mixture of the first reactor hydrogenate hot separation liq. product and second reactor hydrogenate cold separation liq. product is stabilised. The second reactor hot separation product is mixed with the stabilisation product forming the final product. USE/ADVANTAGE The method is used to obtain hydraulically cleaned diesel fuel with a wide functional composition. The final product quality and the process efficiency are increased. Bul. 36/30.9.91"	""
"13"	"13"	"Patent Document 0001764315.zip"	""	""	""
"14"	"14"	"Patent Document 0001774555.zip"	"Producing catalyst for hydrorefining oil distillates comprises mixing powders of aluminium oxide and hydroxide of specified fractional composition with nitric acid and active components PRODUCE CATALYST HYDROREFINING OIL DISTIL COMPRISE MIX POWDER ALUMINIUM OXIDE HYDROXIDE SPECIFIED FRACTION COMPOSITION NITRIC ACID ACTIVE COMPONENT"	"Producing catalyst for hydrorefining of oil distillates comprises mixing powders of aluminium oxide and hydroxide with nitric acid and nickel or cobalt nitrate and ammonium para-molybdate, forming, drying and calcining. To produce catalyst having increased mechanical strength and hydrodesulphurising activity, the method uses aluminium oxide and hydroxide fractions of particle size 0-40 and 40-200 <U+03BC>m, at wt. ratio of 1:(0.05-0.25) for aluminium hydroxide and 1:(0.25-0.70) for aluminium oxide, and with an aluminium oxide:hydroxide ratio, calculated per aluminium oxide, of 95:5 to 80:20 wt.%. USE Used to produce catalysts for oil processing and petrochemical industry. ADVANTAGE The obtained catalysts have increased mechanical strength and improved hydro-desulphurisation properties."	"Producing catalyst for hydrorefining of oil distillates comprises mixing powders of aluminium oxide and hydroxide with nitric acid and nickel or cobalt nitrate and ammonium para-molybdate, forming, drying and calcining. Increased mechanical strength catalyst is obtained by using aluminium oxide and hydroxide fractions of particle size 0-40 and 40-200 <U+03BC>m, at wt. ratio of 1:(0.05-0.25) for aluminium hydroxide and 1:(0.25-0.70) for aluminium oxide, and with an aluminium oxide:hydroxide ratio, calculated per aluminium oxide, of 95:5 to 80:20 wt.%. USE Used to produce catalysts for oil processing and petrochemical industry. ADVANTAGE The obtained catalysts have increased mechanical strength and improved hydro-desulphurisation properties. EMBODIMENT The activity of catalysts has been tested in processes of hydrodesulphurisation of benzines having a sulphur content of 0.135%, at 300°C, 3 MPa and under 500 m 3  hydrogen circulation per 1m 3  of material, and also in the process of hydrorefining diesel fraction having a start boiling temperature of 360°C and a sulphur content of 1.0%. Tests confirm the increased activity of the catalyst and an improved mechanical strength (3.0 kg/granule compared to 2.0-2.5 kg/granule for prototype). (JH)"
"15"	"15"	"Patent Document 0001783663.zip"	"Prepn. of catalyst for hydrorefining of oil fractions comprises mixing aluminium hydroxide-alumina support with nitric acid, forming, drying, calcining and impregnating with hydrogenating components. PREPARATION CATALYST HYDROREFINING OIL FRACTION COMPRISE MIX ALUMINIUM HYDROXIDE ALUMINA SUPPORT NITRIC ACID FORMING DRY CALCINE IMPREGNATE HYDROGENATION COMPONENT"	"The method is based on mixing of support with nitric acid, applying hydrogenating components, ammonium para:molybdate and nickel nitrate, forming, drying and calcining. To produce catalyst with increased activity and strength, support consists of mixt. of aluminium hydroxide of moisture content 30-45% and by wet milling of calcined alumina crumbs, at ratio (3-9.1):1, which is formed, dried, calcined and impregnated with soln. of hydrogenating components in 3-5% soln. of phosphoric acid. USE The catalyst is used in hydrorefining of oil fractions. ADVANTAGE Catalyst has improved activity and strength."	"The method is based on mixing of support with nitric acid, applying hydrogenating components, ammonium para:molybdate and nickel nitrate, forming, drying and calcining. To produce catalyst with increased activity and strength, support consists of mixt. of aluminium hydroxide of moisture content 30-45% and by wet milling of calcined alumina crumbs, at ratio (3-9.1):1, which is formed, dried, calcined and impregnated with soln. of hydrogenating components in 3-5% soln. of phosphoric acid. USE The catalyst is used in hydrorefining of oil fractions. ADVANTAGE Catalyst has improved activity and strength. EMBODIMENT Catalyst obtd. by proposed method and the known catalyst have been tested in hydrorefining of benzine fractions at 20 at, 320 ° C, over 5 hrs. and hydrorefining of diesel fractions at 25 at and 360 ° C. Tests show that the use of catalyst obtd. by proposed method reduces sulphurous cpds. content in benzine fractions to 0.05-0.65 ppm. and that of diesel fractions to 0.09-0.1%, compared to 0.75 ppm. and 0.30% when the known catalyst is used. Catalyst has strength 2.3-2.5 kg/mm. against 1.8 kg/mm for prototype."
"16"	"16"	"Patent Document 0001785524.zip"	"Processing gaseous condensate by mixing with benzine fraction from thermo-catalytic processing of oil residue and catalytic hydrodesulphurisation of mixt. PROCESS GAS CONDENSATE MIX BENZINE FRACTION THERMO CATALYST OIL RESIDUE HYDRODESULPHURISATION MIXTURE"	"The method refers to processing of gaseous condensates by catalytic hydrodesulphurisation and involves initial mixing of starting material with benzine fraction from thermocatalytic cracking of oil residue, introduced in amt. 3-10 wt %. Catalytic hydrodesulphurisation is conducted at 380 deg C and 5.0 MPa, at starting material supply rate 1.5h, using catalyst GS-168, contg. (in wt.%): molybdenum oxide 22.7, nickel oxide 4.55 and silica 6.20. Tests show that proposed method reduces sulphur content in prod. to 0.030-0.047 wt %, compared to 0.170 wt. % when the process is conducted without initial addn. of benzine fraction. Relative activity of desulphurisaton, w.r.t. that of desulphurisation of diesel oil, at vol rate 6.0/h, is 102 n.m. USE/ADVANTAGE In oil processing industry, esp. as for hydrorefining of gaseous condensates and light oil fractions. The method increases degree of desulphurisation. Bul.48/30.12.92."	""
"17"	"17"	"Patent Document 0001797619.zip"	"Prepn. of oxygen-contg. material for catalytic reforming and isomerisation by heating and catalytic hydro-refining in presence of benzene fraction from hydrorefining of diesel oil contg. sulphur PREPARATION OXYGEN CONTAIN MATERIAL CATALYST REFORM ISOMER HEAT HYDRO REFINE PRESENCE BENZENE FRACTION HYDROREFINING DIESEL OIL SULPHUR"	"The method refers to prepn. of starting material, contg. oxygen, to catalytic reforming and isomerisation, and is based on heating of material and catalytic hydro-refining in presence of hydrocarbon additive. To improve yield and quality of prod., hydrocarbon additive consists of 5.0-50.0 wt.% of benzine, distilled off in process of hydro-refining of diesel oil contg. sulphur. USE/ADVANTAGE In oil processing industry, as the method of hydro-refining of benzine fractions contg. oxygen. The method improves yield and quality of prod. (the content of sulphur is reduced from 0.001 to 0.0006 wt.%, octane No. of reforming prod. is increased from 75 to 76 and yield from 86 to 88%, while octane No. of isomerisation prod. is increased from 70 to 73 and yield from 85 to 86 wt.%). In an example, mixt. of benzine fraction from atmos. distn., contg. 0.5 wt.% of oxygen and having boiling range 50-180 deg.C, with benzine from hydrorefining of diesel fractions, contg. 1.5 wt.% H2S, at ratio 95:5, is mixed with hydrogen-contg. gas and the obtd. mixt. is passed to hydrorefining reactor, contg. Al-Mo-Co catalyst. Hydro-refining is conducted at 310 deg.C and 3.3 MPa. Prods. of reaction are cooled and passed as starting material to process of catalytic reforming, conducted at 490 deg.C and 3.0 MPa, on catalyst AP-64 and at ratio of hydrogen to starting material as 1000:1. Prod. of reforming has octane No. 76 and is obtd. at yield 88 wt.%."	""
"18"	"18"	"Patent Document 0001799900.zip"	"Diesel oil prodn. by catalytic hydro-refining of mixt. of heavy diesel fraction with light diesel fraction and mixing prod. with light diesel fraction DIESEL OIL PRODUCE CATALYST HYDRO REFINE MIXTURE HEAVY FRACTION LIGHT MIX PRODUCT"	"The method is based on catalytic hydro-refining of heavy diesel fraction and mixing of prod. with light diesel fraction. To increase degree of desulphurisation and reduce coke formation on catalyst, the method comprises hydrorefining of mixt. of heavy diesel fraction boiling at 205-360 deg.C and 10-30 wt.% of light diesel fraction of boiling range 165-305 deg.C. Hydro-refining of mixt. of heavy and light diesel fractions is conducted at 350-360 deg.C, 3-3.5 MPa, vol. rate of starting material supply 3.5-4.0/h and ratio of hydrogen to starting material 500 cu.m/cu.m, using commercial catalyst GO-70. Non-refined light diesel fraction is added to the hydrogenated material in amt. 20-40 wt.%. Tests show that proposed method increases degree of desulphurisation of diesel fractions by 2.3-4.6% and reduces coking of hydrorefining catalyst by 1.3-1.5 times. The yield of diesel fuel with low sulphur content (0.2 wt.%) is increased by 20-40%. USE/ADVANTAGE Used in oil processing ind. for prodn. of diesel fuel. The method increases degree of desulphurisation and reduces coking of catalyst."	""
"19"	"19"	"Patent Document 0001799901.zip"	"Refining of sec. diesel fractions and benzine by hydrogenation in presence of specified catalyst, mixing prod. with prim fraction of diesel fuel and hydro-desulphurisation REFINE SEC DIESEL FRACTION BENZINE HYDROGENATION PRESENCE SPECIFIED CATALYST MIX PRODUCT PRIMARY FUEL HYDRO DESULPHURISE"	"The method is based on hydro-desulphurisation of sec. benzine and diesel fractions in presence of catalyst contg. oxides of metals of VI and VIII gp. of periodic system, at elevated temp. and pressure. To simplify technology and increase service life of hydro-desulphurisation catalyst, starting material, contg. 1-45 wt.% of sec. benzine, is initially subjected to hydrogenation at 240-280 deg.C and pressure 4-4.5 MPa. in presence of catalyst contg. (in wt.%): nickel oxide 18.0. molybdenum oxide 40.0, silicon oxide 12.0, oxides of rare earth elements 3.7 and balance alumina, and prod. of hydrogenation is mixed with diesel fuel fraction from atmos. distn., in amt. 81-98 wt.%. Hydro-desulphurisation is conducted at 320-360 deg.C and 3.0-5.0 MPa. The equipment consists of heat exchanger T-1, hydrogenation reactor P-1, hydro-desulphurisation reactor P-2, gas-separator C-1 and stabilisation column K-1, for sepn. of prod. into diesel oil, benzine and gas. Starting material can be e.g. light gas oil from coking process and coking benzine. Produced diesel oil has low content of sulphur and corresponds to requirements of standard. Service life of catalyst is increased to (8.5-11.5) x 10 power 3 hrs. USE/ADVANTAGE Used for purificn. of diesel fractions and benzine of sec. origin. The method simplifies technology and increases service life of hydro-desulphurisation catalyst."	""
"20"	"20"	"Patent Document 0001801116.zip"	"Diesel fuel with low sulphur content by hydro-refining using catalyst in form of aluminium-cobalt-molybdenum, aluminium-nickel-molybdenum and aluminium-cobalt-molybdenum layers. DIESEL FUEL LOW SULPHUR CONTENT HYDRO REFINE CATALYST FORM ALUMINIUM COBALT MOLYBDENUM NICKEL LAYER"	"The method is based on hydrorefining of starting material, at elevated temp, in presence of aluminium-cobalt-molybdenum catalyst. Process is conducted at 320-370 deg C, and catalyst consists of three layers, contg in sequence from top to bottom: aluminium-cobalt-molybdenum, aluminium-nickel-molybdenum and aluminium-cobalt-molybdenum, at wt ratio of layers (0.5-1.0): (4.0-4.5):(5.0-8.0). Before use, the layers of catalyst are subjected to initial sulphurisation with elemental sulphur, at 350-450 deg C and with load of elemental sulphur over each catalyst layer equal 8, 1 and 2 wt%, respectively, per total wt of catalyst. Hydrorefining is conducted in descending stream of starting material (diesel fraction from atmos distn of oil), in reactor loaded with, in sequence from top to bottom, quartz filling, catalyst layers and quartz filling. Initially reactor is blown-through with nitrogen to pressure 2.0 MPa, the nitrogen is replaced by hydrogen and reactor contents are heated to reaction temp. Hydrorefining is conducted at H2 pressure 3.0 MPa, vol rate of starting material supply 4.0/h and H2 supply 300 n cu m per 1 cu m of material. The yield of desulphurised fuel is up to 96.7%. USE/ADVANTAGE In oil processing industry, as the method of desulphurising of diesel fuel. The method produces diesel fuel with sulphur content reduced to less than 0.1 wt%, thus reducing atmos pollution with sulphur during use of fuel in eg tractor engines etc."	""
"21"	"21"	"Patent Document 0001815993.zip"	""	""	""
"22"	"22"	"Patent Document 0002004574.zip"	"Low sulphur content diesel fuel using first catalyst layer additionally contg. sulphur, hydraulic cleaning prod. additionally contacted with second and fourth layers of oxidising aluminium@-cobalt@-molybdenum@, etc. LOW SULPHUR CONTENT DIESEL FUEL FIRST CATALYST LAYER ADD CONTAIN HYDRAULIC CLEAN PRODUCT CONTACT SECOND FOURTH OXIDATION ALUMINIUM@ COBALT@ MOLYBDENUM@"	"The method is carried out by hydraulic cleaning of diesel fractions at high temp. and pressure in the presence of first oxidising aluminium-cobalt-molybdenum catalyst forming hydraulic cleaning product. The first layer of catalyst additionally contains sulphur. The hydraulic cleaning product is additionally contacted with second and fourth layers of oxidising aluminium-cobalt-molybdenum catalyst third layer of oxidising aluminium-nickel-molybdenum catalyst. The catalysts are sulphated in the hydrogen sulphide containing gas and the process is carried out with a mass ratio of first, second, third and fourth layer ratio of 0.1-0.2:0.1-0.2: 0.3-0.2:0.5-0.4 respectively using catalyst layers whose separation surface is conical in shape. USE/ADVANTAGE Used for low sulphur containing diesel fuel prodn. The sulphur content is reduced. In an example, the diesel fraction 180-360 deg.C with total sulphur content of 1.8 percent by mass is used as the raw material. Catalyst ro-70 is used as the aluminium-cobalt-molybdenum catalyst and catalyst rs-168 is used as the aluminium-nickel-molybdenum catalyst. The raw material is hydraulically cleaned. The catalyst layers are loaded into the reactor and are activated at 350-400 deg.C."	""
"23"	"23"	"Patent Document 0002005765.zip"	"Prodn. of diesel oil of low sulphur content by hydrorefining, using alumino-cobalt-molybdenum oxide catalyst in mixt. with elemental sulphur@, and layers of zeolite and same catalyst as above PRODUCE DIESEL OIL LOW SULPHUR CONTENT HYDROREFINING ALUMINO COBALT MOLYBDENUM OXIDE CATALYST MIXTURE ELEMENT SULPHUR@ LAYER ZEOLITE ABOVE"	"The method is based on hydrorefining of diesel fractions at elevated temp. and pressure, in presence of layer of alumino-cobalt-molybdenum oxide catalyst. To improve results, layer of alumino-cobalt-molybdenum catalyst, of granules dia. 3.4-4.0 mm, is used in mixt. with elemental sulphur, and hydrorefining is additionally conducted in presence of consecutively positioned layers of zeolite-contg. oxide catalyst of granule dia. 2.0-3.2 mm and alumino-nickel-molybdenum oxide catalyst, at wt. ratio of all catalyst layers as 1:1:(1.3-8.0), respectively. The catalyst layers are initially activated in hydrogen-contg. gas medium at 350-4000C.. USE In oil processing industry, as the method of hydrorefining of diesel fractions. ADVANTAGE The method reduces sulphur content in stable hydrorefined product to 0.03 wt.%."	"The method is based on hydrorefining of diesel fractions at elevated temp. and pressure, in presence of layer of alumino-cobalt-molybdenum oxide catalyst. To improve results, layer of alumino-cobalt-molybdenum catalyst, of granules dia. 3.4-4.0 mm, is used in mixt. with elemental sulphur, and hydrorefining is additionally conducted in presence of consecutively positioned layers of zeolite-contg. oxide catalyst of granule dia. 2.0-3.2 mm and alumino-nickel-molybdenum oxide catalyst, at wt. ratio of all catalyst layers as 1:1:(1.3-8.0), respectively. The catalyst layers are initially activated in hydrogen-contg. gas medium at 350-400  0 C.. USE In oil processing industry, as the method of hydrorefining of diesel fractions. ADVANTAGE The method reduces sulphur content in stable hydrorefined product to 0.03 wt.%. EMBODIMENT The content of sulphur in upper layer of catalyst is 10-20% per total wt. of upper and middle layer of catalyst. Activation is conducted with elemental sulphur, in hydrogen-contg. gas medium, at 350-400  0  C.. The final sulphur content of hydrorefined material is reduced to 0.03 wt.% compared to 0.51 wt.% for prototype method."
"24"	"24"	"Patent Document 0002024583.zip"	"Hydrorefining of diesel fractions using hydrogen-contg. gas and conducting process in three subsequent layers of alumino-cobalt-molybdenum catalyst HYDROREFINING DIESEL FRACTION HYDROGEN CONTAIN GAS CONDUCTING PROCESS THREE SUBSEQUENT LAYER ALUMINO COBALT MOLYBDENUM CATALYST"	"The method refers to hydrorefining of diesel fractions, at elevated temp. and pressure, in presence of Al/Co/Mo catalyst. To improve results, process is first conducted in presence of first layer of catalyst, comprising sulphide Al/Co/Mo catalyst in mixt. with elemental S, with the prod. subsequently additionally contacted with sec. layer of oxide Al/Co/Mo catalyst and third layer of oxide Al/Co/Mo catalyst, at wt. ratio of first, sec. and third layer as 1:1:(0.5-8), resp., using catalyst layers fixed with additives and having sepd. surfaces between first and sec. and sec. and third layer in form of cone, with angle between generating lines 50-150 deg. and the process is conducted with initial sulphurising of catalyst layers, in hydrogen-contg. gas medium, at 350-400 °C. USE In oil processing industry. ADVANTAGE The method reduces sulphur content in stabilised hydrogenation prod. to 0.04 wt.%."	"The method refers to hydrorefining of diesel fractions, at elevated temp. and pressure, in presence of Al/Co/Mo catalyst. To improve results, process is first conducted in presence of first layer of catalyst, comprising sulphide Al/Co/Mo catalyst in mixt. with elemental S, with the prod. subsequently additionally contacted with sec. layer of oxide Al/Co/Mo catalyst and third layer of oxide Al/Co/Mo catalyst, at wt. ratio of first, sec. and third layer as 1:1:(0.5-8), resp. Catalyst layers are fixed with additives and have sepd. surfaces between first and sec. and sec. and third layer in form of cone, with angle between generating lines 50-150 deg. and the process is conducted with initial sulphurising of catalyst layers, in hydrogen-contg. gas medium, at 350-400 °C. USE In oil processing industry. ADVANTAGE The method reduces sulphur content in stabilised hydrogenation prod. to 0.04 wt.%. EMBODIMENT Content of sulphur in top (first) layer of catalyst is 10% per total vol. of whole catalyst charge. Tests show that proposed method, compared to prototype, reduces S content in hydrorefined diesel fractions from 1.6 wt.% to 0.04 wt.%."
"25"	"25"	"Patent Document 0002024587.zip"	"Hydrorefining of diesel fractions involves using two subsequent layers of oxide alumino-cobalt-molybdenum catalyst, and third layer of oxide alumino-nickel-molybdenum catalyst HYDROREFINING DIESEL FRACTION TWO SUBSEQUENT LAYER OXIDE ALUMINO COBALT MOLYBDENUM CATALYST THIRD NICKEL"	"The method is based on hydrorefining at elevated temp. and pressure in presence of oxide Al/Co/Mo catalyst, and sepn. of hydrorefining prod. To improve results, process is conducted using three layers of catalyst, first layer additionally contg. S, the prod. of hydrorefining in first catalyst layer is subsequently additionally contacted with sec. layer of oxide Al/Co/Mo catalyst and then with third layer of oxide Al/Ni/Mo catalyst, having average pore radius 80-370 A, at wt. ratio of first, second and third layer as (0.3-0.1):(0.2-0.3):(0.5-0.6), respectively, and the process is conducted with initial sulphurising of catalyst layers in hydrogen-contg. gas medium, at 350-400 deg.C. USE In oil processing industry, as the method of hydrorefining of diesel fractions. ADVANTAGE The method reduces content of heteroatomic hydrocarbons in hydrogenation prod. to 0.03 wt.%."	"The method is based on hydrorefining at elevated temp. and pressure in presence of oxide Al/Co/Mo catalyst, and sepn. of hydrorefining prod. To improve results, process is conducted using three layers of catalyst, first layer additionally contg. S, the prod. of hydrorefining in first catalyst layer is subsequently additionally contacted with sec. layer of oxide Al/Co/Mo catalyst and then with third layer of oxide Al/Ni/Mo catalyst, having average pore radius 80-370 A, at wt. ratio of first, second and third layer as (0.3-0.1):(0.2-0.3):(0.5-0.6), respectively, and the process is conducted with initial sulphurising of catalyst layers in hydrogen-contg. gas medium, at 350-400 deg. C. USE In oil processing industry, as the method of hydrorefining of diesel fractions. ADVANTAGE The method reduces content of heteroatomic hydrocarbons in hydrogenation prod. to 0.03 wt.%. EMBODIMENT Activation of catalyst is conducted using elemental S, taken in amt. 10-20 wt.% per total mass of top and middle layer of catalyst. Catalyst contains up to 12 wt.% MoO3 and up to 4 wt.% CoO (first and sec. layer) and 10-18 wt.% MoO3 and 4-5 wt.% NiO (third layer). Content of heteroatomic hydrocarbons in prod. is reduced to 0.03 wt.%, compared to 0.2 wt.% in prototype method. (WMD)"
"26"	"26"	"Patent Document 0002035223.zip"	""	""	""
"27"	"27"	"Patent Document 0002039788.zip"	""	""	""
"28"	"28"	"Patent Document 0002044031.zip"	""	""	""
"29"	"29"	"Patent Document 0002050405.zip"	""	""	""
"30"	"30"	"Patent Document 0002054028.zip"	""	""	""
"31"	"31"	"Patent Document 0002058371.zip"	""	""	""
"32"	"32"	"Patent Document 0002063416.zip"	""	""	""
"33"	"33"	"Patent Document 0002067023.zip"	"Producing catalyst for hydrorefining oil fractions by treating aluminosilicate support of specified compsn. with boric acid and nickel and molybdenum salts, drying and calcining PRODUCE CATALYST HYDROREFINING OIL FRACTION TREAT ALUMINOSILICATE SUPPORT SPECIFIED COMPOSITION BORIC ACID NICKEL MOLYBDENUM SALT DRY CALCINE"	"The method comprises treating aluminosilicate support with boric acid, nickel and molybdenum salts, and subsequently calcining granulated catalyst at 500-550°C, for 4-8 h. To improve results, the method uses aluminosilicate support in form of mixt. of crystalline zeolite of TsBM type with aluminium hydroxide powder of moisture content 7-11 wt.%, specific surface area 145-185 m2/g and bulk density 0.9-1.0 g/cm3, and aluminium hydroxide of moisture content 35-40 wt.%, specific surface 180-250 m2/g and bulk density 0.50-0.65 g/cm3, at a wt. ratio of 0.15:1:2-0.55:1:4, respectively, and the treatment of support is conducted at 80-90°C, with mixing to homogeneity, and followed by evapn. of catalyst mass to moisture content 45-55 wt.% and drying at 20-35°C for 18-24 h. USE Used in oil processing, as a method of prodn. of catalysts for use in hydrogenation processes aimed at hydrorefining of oil fractions. ADVANTAGE The catalyst has increased activity and strength, owing to use of support with improved structural characteristics. The technology is simplified and reduces the amt. of produced aq. effluents."	"The method comprises treating aluminosilicate support with boric acid, nickel and molybdenum salts, and subsequently calcining granulated catalyst at 500-550°C, for 4-8 h. To improve results, the method uses aluminosilicate support in form of mixt. of crystalline zeolite of TsBM type with aluminium hydroxide powder of moisture content 7-11 wt.%, specific surface area 145-185 m 2 /g and bulk density 0.9-1.0 g/cm 3 , and aluminium hydroxide of moisture content 35-40 wt.%, specific surface 180-250 m 2 /g and bulk density 0.50-0.65 g/cm 3 , at a wt. ratio of 0.15:1:2-0.55:1:4, respectively, and the treatment of support is conducted at 80-90°C, with mixing to homogeneity, and followed by evapn. of catalyst mass to moisture content 45-55 wt.% and drying at 20-35°C for 18-24 h. USE Used in oil processing, as a method of prodn. of catalysts for use in hydrogenation processes aimed at hydrorefining of oil fractions. ADVANTAGE The catalyst has increased activity and strength, owing to use of support with improved structural characteristics. The technology is simplified and reduces the amt. of produced aq. effluents. EMBODIMENT The catalyst obtd. using proposed method has been tested in process of hydrorefining of atmos. diesel fraction, boiling within range 180-360°C and contg. 1.0 wt.% of S. Process was conducted by mixing starting material with hydrogen-contg. gas, heating to reaction temp. 340°C, and passing preheated reaction mixt. to hydrorefining reactor contg. stationary layer of catalyst. The conditions of reaction were 3.5 MPa, vol. rate of supply of starting material 4.0 /h, circulation of hydrogen-contg. gas 300 m 3 /M 3  and hydrogen content in circulating gas 75-80%. Tests show that the use of catalysts obtd. using proposed method results in redn. of sulphur content to 0.03-0.08%."
"34"	"34"	"Patent Document 0002069685.zip"	""	""	""
"35"	"35"	"Patent Document 0002072387.zip"	""	""	""
"36"	"36"	"Patent Document 0002074877.zip"	""	""	""
"37"	"37"	"Patent Document 0002074878.zip"	""	""	""
"38"	"38"	"Patent Document 0002074879.zip"	""	""	""
"39"	"39"	"Patent Document 0002074881.zip"	""	""	""
"40"	"40"	"Patent Document 0002074883.zip"	""	""	""
"41"	"41"	"Patent Document 0002082499.zip"	""	""	""
"42"	"42"	"Patent Document 0002084492.zip"	""	""	""
"43"	"43"	"Patent Document 0002089596.zip"	""	""	""
"44"	"44"	"Patent Document 0002089597.zip"	""	""	""
"45"	"45"	"Patent Document 0002095395.zip"	"Production of diesel oil involves hydro:refining and destructive de:aromatisation of starting material after initial hydrogenation PRODUCE DIESEL OIL HYDRO REFINE DESTROY DE AROMA START MATERIAL AFTER INITIAL HYDROGENATION"	"The method includes hydrogenation of oil material at elevated temperature and pressure, in presence of catalysts. To improve results, the material is subjected to hydrorefining and destructive de-aromatisation after initial hydrogenation, and hydro-treatment is conducted at 3.0-4.8 MPa, at ratio of catalyst loads (in wt.%): hydrogenation catalyst 30.0-65.0, hydrorefining catalyst 10.0-25.0 and catalyst of destructive aromatisation 25.0-45.0. USE In oil processing industry, as a method of production of diesel oil. ADVANTAGE The method improves ecological and working characteristics of product and reduces hydrogen pressure during hydro-processing."	"The method includes hydrogenation of oil material at elevated temperature and pressure, in presence of catalysts. To improve results, the material is subjected to hydrorefining and destructive de-aromatisation after initial hydrogenation, and hydro-treatment is conducted at 3.0-4.8 MPa, at ratio of catalyst loads (in wt.%): hydrogenation catalyst 30.0-65.0, hydrorefining catalyst 10.0-25.0 and catalyst of destructive aromatisation 25.0-45.0. USE In oil processing industry, as a method of production of diesel oil. ADVANTAGE The method improves ecological and working characteristics of product and reduces hydrogen pressure during hydro-processing. PREFERRED CONDITIONS Hydrorefining is preferably conducted at 330-400°C, at volumetric rate of supply of starting material 2.5-12.0/hour, on catalyst containing 2-5 wt.% of cobalt oxide, 13-20 wt.% of molybdenum oxide and balance alumina. Destructive aromatisation is preferably conducted at 320-400°C, volumetric rate of supply of starting material 4.0-12.0/hour, using catalyst containing (in wt.%): nickel oxide 15-25, molybdenum oxide 30-50, silicon oxide 8-15, rare earth elements 5-15 and balance alumina. Hydrogenation is conducted at 300-390°C. volumetric rate of supply of starting material 3-7/hour, using alumino-cobalt molybdenum and alumino-nickel-molybdenum catalysts."
